customer_id,first_name,last_name,gender,birth_date,signup_date,city,region_id,customer_segment,acquisition_channel
1,Shawn,Ware,Male,2008-08-26,2023-05-01,Port Markmouth,1,Standard,Referral
2,Andrea,Smith,Female,1970-12-14,2025-06-07,Timothyhaven,1,Premium,Organic Search
3,Christina,Schultz,Female,1988-05-13,2025-02-12,Lake Craig,3,VIP,Referral
4,Elizabeth,Rosales,Female,1995-12-20,2023-09-02,Cruzfort,3,Premium,Direct
5,Brianna,Mccarty,Female,1988-06-16,2024-08-30,South Shane,6,Standard,Affiliate
6,Mark,Alexander,Male,1994-05-27,2025-11-19,Dawnberg,1,Budget,Social Media
7,Nicole,Anderson,Female,2005-09-25,2023-05-16,West Keith,6,Standard,Email
8,Tiffany,Jones,Female,1962-03-21,2023-11-17,Port Lisa,4,Standard,Paid Search
9,Michael,Morton,Male,1951-11-02,2024-07-18,Lake Dennisland,5,Budget,Email
10,Cameron,Obrien,Male,1959-06-30,2024-01-19,Lake Kevinland,4,Premium,Referral
11,Anthony,Rodgers,Male,1957-12-22,2023-10-05,New Johnview,6,Budget,Direct
12,Katherine,Harris,Female,1989-06-26,2025-12-12,Cooperside,3,Budget,Social Media
13,Frederick,Ruiz,Other,1983-05-14,2025-07-04,Lake Stephenburgh,3,Budget,Organic Search
14,Rachel,Castillo,Other,1963-04-19,2025-06-03,Jorgestad,5,Budget,Social Media
15,Kristina,Baker,Female,1991-03-24,2025-11-11,South Eric,3,Budget,Organic Search
16,Kenneth,Johnson,Male,1995-02-19,2023-11-14,New Christopher,2,VIP,Paid Search
17,Robert,Bond,Male,1960-05-21,2025-10-10,Reyesside,7,Standard,Paid Search
18,David,Garcia,Male,1985-11-16,2025-12-19,New Mistymouth,5,Premium,Referral
19,Tyler,Brewer,Male,1994-01-13,2025-01-29,North Stephen,2,Budget,Organic Search
20,Cindy,Ramos,Female,1957-04-19,2025-10-20,New Diana,5,Standard,Organic Search
21,Tracy,Frye,Female,1998-03-05,2025-08-13,West Hunterberg,2,Standard,Organic Search
22,Kenneth,Bradley,Male,2006-08-11,2024-04-28,Lake Robert,3,Standard,Affiliate
